city,metro,latitude,longitude,population,total,rate,veteranshel,veteranunshel,chronicshel,chronicunshel,indivshel,indivunshel,familyshel,familyunshel,youthshel,youthunshel
New York City,"New York-Newark-Jersey City, NY-NJ-PA",40.730599,-73,20182305,86038,43,1058,94,2993,2213,30737,4025,51213,64,2337,212
Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",34.054394,-118.243941,13340068,51193,38,1552,1974,1145,14193,8393,34898,5898,2004,882,2462
Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",41.875555,-87.624421,9551031,9200,10,599,220,384,311,4076,1527,3574,21,444,47
Dallas,"Dallas-Fort Worth-Arlington, TX",32.776272,-96.796856,7102796,6543,9,433,86,623,276,3123,1407,1958,52,202,85
Houston,"Houston-The Woodlands-Sugar Land, TX",29.758938,-95.367697,6656947,4517,7,377,149,159,424,2003,1362,1125,24,178,98
Washington D.C.,"Washington-Arlington-Alexandria, DC-VA-MD-WV",39.4,-77.6,6097684,12832,21,437,82,1766,528,5178,992,6580,86,317,80
Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",40.3,-76,6069875,10541,17,744,43,696,491,4957,1040,4512,31,423,49
Miami,"Miami-Fort Lauderdale-West Palm Beach, FL",25.774266,-80.193659,6012331,7869,13,284,198,316,1045,3523,2511,1757,78,289,95
Atlanta,"Atlanta-Sandy Springs-Roswell, GA",33.749099,-84.390185,5710795,8023,14,474,222,349,715,3578,2333,1658,455,408,124
Boston,"Boston-Cambridge-Newton, MA-NH",42.360482,-70.5,4774321,13816,29,402,13,1753,153,4087,494,9222,16,212,27
San Francisco,"San Francisco-Oakland-Hayward, CA",37.779277,-122.41927,4656132,15490,33,532,799,1125,2439,3859,8945,2156,530,395,1862
Phoenix,"Phoenix-Mesa-Scottsdale, AZ",33.446768,-112.075672,4574531,6254,14,347,179,343,510,2142,1905,2166,41,276,118
Riverside,"Riverside-San Bernardino-Ontario, CA",34,-116,4489159,4052,9,140,193,97,686,876,2446,634,96,121,205
Detroit,"Detroit-Warren-Dearborn, MI",42.348664,-83.056737,4302043,3684,9,420,23,281,114,2195,344,1134,10,237,25
Seattle,"Seattle-Tacoma-Bellevue, WA",47.603832,-122.330062,3733580,13452,36,658,246,681,775,4202,5310,3780,160,491,403
Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",44.9773,-93.265469,3524583,5453,15,205,15,573,100,2261,509,2602,82,412,85
San Diego,"San Diego-Carlsbad, CA",32.717421,-117.162771,3299521,8669,26,584,572,309,1108,2297,4658,1432,282,257,573
Tampa,"Tampa-St. Petersburg-Clearwater, FL",27.94776,-82.458444,2975225,5788,19,418,254,217,1055,1990,2567,962,269,125,251
Denver,"Denver-Aurora-Lakewood, CO",39.739154,-104.984703,2814330,5250,19,586,72,479,207,2595,682,1881,94,222,100
St. Louis,"St. Louis, MO-IL",38.627273,-90.197889,2811588,3001,11,236,21,187,123,1244,401,1225,129,306,44
Baltimore,"Baltimore-Columbia-Towson, MD",39.2,-75.9,2797407,4446,16,293,66,577,283,2361,576,1355,155,100,39
Charlotte,"Charlotte-Concord-Gastonia, NC-SC",35.227087,-80.843127,2426363,2822,12,191,45,205,142,1485,396,882,60,116,25
Portland,"Portland-Vancouver-Hillsboro, OR-WA",45.520247,-122.674195,2389228,6247,26,321,291,244,1340,1923,2654,1117,553,204,236
Orlando,"Orlando-Kissimmee-Sanford, FL",28.542118,-81.379046,2387138,1924,8,238,14,86,34,1028,243,639,15,97,10
San Antonio,"San Antonio-New Braunfels, TX",29.4246,-98.49514,2384075,3036,13,164,99,232,325,1020,1191,779,46,85,101
