type,year,category,black,white,asian,nativeAmerican,nhpi,multipleRaces,nonHispanic,hispanic,nonHispWhite,hispWhite
es,2016,all,0.43,0.483,0.008,0.025,0.01,0.044,0.829,0.171,0.373,0.11
es,2015,all,0.416,0.493,0.008,0.029,0.01,0.043,0.823,0.177,0.379,0.114
es,2014,all,0.408,0.5,0.008,0.029,0.008,0.048,0.843,0.157,0.403,0.096
es,2013,all,0.417,0.476,0.007,0.025,0.008,0.066,0.833,0.167,0.376,0.1
th,2016,all,0.406,0.494,0.008,0.021,0.016,0.056,0.846,0.154,0.382,0.111
th,2015,all,0.397,0.503,0.008,0.021,0.014,0.057,0.849,0.151,0.392,0.111
th,2014,all,0.4,0.508,0.008,0.02,0.012,0.052,0.837,0.163,0.385,0.123
th,2013,all,0.416,0.483,0.008,0.019,0.013,0.06,0.837,0.163,0.368,0.115
psh,2016,all,0.466,0.458,0.009,0.019,0.006,0.042,0.88,0.12,0.371,0.087
psh,2015,all,0.463,0.465,0.009,0.018,0.005,0.04,0.885,0.115,0.379,0.086
psh,2014,all,0.446,0.477,0.01,0.018,0.005,0.043,0.88,0.12,0.388,0.088
psh,2013,all,0.442,0.477,0.012,0.021,0.006,0.043,0.865,0.135,0.384,0.093
ssvf,2016,all,0.433,0.516,0.006,0.017,0.007,0.022,,,0.45,0.066
ssvf,2015,all,0.446,0.502,0.005,0.016,0.007,0.021,,,0.441,0.061
ssvf,2014,all,0.457,0.494,0.005,0.017,0.006,0.021,0.912,0.088,,
ssvf,2013,all,0.461,0.481,0.004,0.02,0.005,0.019,0.906,0.09,,
es,2016,indiv,0.382,0.536,0.009,0.029,0.007,0.038,0.871,0.129,0.449,0.086
es,2015,indiv,0.373,0.545,0.008,0.031,0.008,0.034,0.869,0.131,0.458,0.088
es,2014,indiv,0.367,0.549,0.009,0.033,0.006,0.036,0.882,0.118,0.476,0.074
es,2013,indiv,0.384,0.534,0.008,0.022,0.006,0.046,0.859,0.141,0.441,0.093
th,2016,indiv,0.378,0.553,0.008,0.016,0.007,0.038,0.897,0.103,0.479,0.074
th,2015,indiv,0.365,0.57,0.008,0.015,0.006,0.036,0.895,0.105,0.493,0.076
th,2014,indiv,0.368,0.569,0.008,0.015,0.006,0.034,0.882,0.118,0.48,0.089
th,2013,indiv,0.388,0.54,0.008,0.015,0.006,0.042,0.879,0.121,0.457,0.084
psh,2016,indiv,0.448,0.489,0.011,0.016,0.005,0.031,0.903,0.097,0.419,0.07
psh,2015,indiv,0.44,0.501,0.01,0.016,0.005,0.028,0.909,0.091,0.434,0.068
psh,2014,indiv,0.428,0.509,0.011,0.015,0.005,0.032,0.907,0.093,0.442,0.067
psh,2013,indiv,0.42,0.517,0.011,0.017,0.005,0.03,0.885,0.115,0.44,0.077
ssvf,2016,indiv,,,,,,,,,,
ssvf,2015,indiv,,,,,,,,,,
ssvf,2014,indiv,,,,,,,,,,
ssvf,2013,indiv,,,,,,,,,,
es,2016,inFam,0.535,0.37,0.006,0.018,0.015,0.056,0.739,0.261,0.208,0.162
es,2015,inFam,0.508,0.383,0.006,0.026,0.015,0.062,0.73,0.27,0.213,0.17
es,2014,inFam,0.495,0.394,0.005,0.021,0.011,0.073,0.761,0.239,0.249,0.145
es,2013,inFam,0.478,0.365,0.005,0.032,0.011,0.109,0.757,0.243,0.23,0.135
th,2016,inFam,0.447,0.411,0.008,0.027,0.027,0.08,0.776,0.224,0.247,0.164
th,2015,inFam,0.442,0.412,0.009,0.029,0.024,0.084,0.785,0.215,0.253,0.159
th,2014,inFam,0.441,0.429,0.007,0.027,0.02,0.076,0.778,0.222,0.261,0.168
th,2013,inFam,0.451,0.412,0.009,0.024,0.022,0.082,0.787,0.213,0.259,0.153
psh,2016,inFam,0.503,0.397,0.007,0.024,0.007,0.062,0.835,0.165,0.275,0.122
psh,2015,inFam,0.505,0.399,0.008,0.022,0.006,0.06,0.84,0.16,0.28,0.119
psh,2014,inFam,0.478,0.419,0.009,0.024,0.006,0.063,0.83,0.17,0.294,0.125
psh,2013,inFam,0.481,0.408,0.012,0.028,0.007,0.064,0.83,0.17,0.288,0.119
ssvf,2016,inFam,,,,,,,,,,
ssvf,2015,inFam,,,,,,,,,,
ssvf,2014,inFam,,,,,,,,,,
ssvf,2013,inFam,,,,,,,,,,
